ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
1,沙坪坝大学城大学城南路11号富力城天禧,106.31093146996697,29.60031625771557,10708,106,99,3,7,南北,5.0
2,渝北照母山恒康路9号恒大照母山山水城,106.51549171584482,29.639855532803878,12791,114,89.13,3,6,南,4.0
3,渝北大竹林恒山西路1号新江与城悠澜,106.46522916865983,29.637916649089618,14433,140,97,3,7,南北,4.0
4,江北观音桥三钢一路与建新南路交叉口东南150米煌华晶萃城峯悦,106.5329777555221,29.57264552549562,18983,128,67.43,2,5,南,
5,九龙坡石桥铺石小路195号渝景新天地,106.47482133398911,29.53232579385422,10211,97,95,3,6,南北,14.0
6,南岸弹子石福民路39号国际社区海悦府,106.58925998216499,29.597707795242805,12756,125,98,3,7,东南,11.0
7,江北南桥寺盘溪五支路江北公安分局旁（南桥寺地铁站3号口步行420米）中海寰宇时代璟悦(新房),107.71838105823848,29.867376621116197,19558,130,66.47,2,5,南,
8,南岸铜元局铜苑路98号金辉城春上南滨,106.54077519734047,29.53773166370052,12073,113,93.6,3,6,东,8.0
9,渝北龙头寺昆仑大道29号渝铁西苑(西区),106.5404063074261,29.610900054439828,10588,106,100.12,3,6,南北,10.0
10,沙坪坝三峡广场杨梨路41号融汇温泉城翰林学府(新房),106.44437757720858,29.556645424810934,13618,128,94,3,6,南,
11,南岸学府大道二塘路66号保利观塘香榭,106.56238311212441,29.494147187813667,12414,108,87,3,7,南北,6.0
12,渝北礼嘉嘉和路128号龙湖两江新宸森屿,106.49636128029672,29.676868997381973,14792,145,98.03,3,6,南,4.0
13,渝中大坪长江二路33号和泓江山国际,106.52310046512596,29.54405514814719,13625,123,90.28,3,6,南北,7.0
14,沙坪坝大学城学博支路2号龙湖香港置地学樘府(二期),106.28937643712314,29.60147949843086,13830,130,94,3,6,东,3.0
15,渝北鸳鸯龙展路59号大雅云居山,106.56201864453665,29.669575766845604,11944,118,98.8,3,7,南北,9.0
16,九龙坡石坪桥石杨路266号春风与湖,106.48632724499565,29.519194738689485,12374,147,118.8,4,8,南,9.0
17,沙坪坝童家桥学灯路6号万科清水甲第,106.44043853960551,29.57514366690623,18900,189,100,3,7,南,
18,渝北照母山湖红路56号恒大世纪城,106.51764701557767,29.660956236140255,13221,125,94.55,3,6,南,5.0
19,"沙坪坝大学城大学城南二路,大学城中路2号协信城立方玺院",106.3059114256995,29.583451896918557,16593,142,85.58,4,8,南北,6.0
20,沙坪坝土主垄安大道与西林大道交汇处西永泷悦长安,106.37109583340873,29.61666353873683,13370,123,92,3,7,南,
21,南岸弹子石福民路30号蓝光COCO时代(三期),106.59749323968734,29.594737138982353,12805,105,82,3,6,南,9.0
22,渝北鸳鸯金渝大道81号复地新城就,106.55807893447748,29.654423577752027,11422,110,96.31,3,7,东北,11.0
23,渝北礼嘉礼慈路13号御璟湖山璟园,106.47796493233021,29.678821835046605,10986,112,101.95,3,7,南北,3.0
24,沙坪坝凤天路汇泉路6号（融汇沙小旁）万科星光天空之城,106.48976043981777,29.515230527795783,16586,136,82,3,6,南,
25,渝北冉家坝锦橙路21号龙湖水晶郦城禧苑,106.49122816273595,29.606772819150756,11733,103,87.79,2,5,西北,16.0
26,大渡口跳磴景灿路132号金科集美阳光(二期),106.43447686954484,29.408582881004733,7340,80,109,4,8,南北,4.0
